spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
"[Municipality size] >= 1,000 registered voters (n=62)",FALSE,"Reelection
(pp)",56,-8.966194605559044,11.06924430956313,-30.661913452302777,12.72952424118469,0.4181848863365324,FALSE,p >= 0.05
"[Municipality size] >= 1,000 registered voters (n=62)",FALSE,"Winner vote share
(% valid votes)",62,-2.169328421519071,3.0709285901938586,-8.188348458299034,3.8496916152608915,0.48012513460397144,FALSE,p >= 0.05
"[Municipality size] >= 1,000 registered voters (n=62)",FALSE,"Abstention
(% registered)",62,-0.5553039923814067,0.8883756886166936,-2.296520342070126,1.1859123573073127,0.5320851833232617,FALSE,p >= 0.05
"[Municipality size] >= 1,000 registered voters (n=62)",FALSE,"Incumbent vote share
(% valid votes)",34,-7.056161225219556,7.581790885849699,-21.916471361484966,7.8041489110458535,0.3527055957827183,FALSE,p >= 0.05
[Cohorts] B 2014-2020 (n=644),FALSE,"Candidacy
(pp)",597,-1.6531247833397105,2.860146668999712,-7.259012254579146,3.9527626878997246,0.5632900457261513,FALSE,p >= 0.05
[Cohorts] B 2014-2020 (n=644),FALSE,"Reelection
(pp)",629,-2.739391305267495,3.011779257325207,-8.642478649624902,3.1636960390899107,0.36308207654666425,FALSE,p >= 0.05
[Cohorts] B 2014-2020 (n=644),FALSE,"Winner vote share
(% valid votes)",644,-0.9307363286471962,0.706784963114254,-2.316034856351134,0.45456219905674156,0.18791971948247385,FALSE,p >= 0.05
[Cohorts] B 2014-2020 (n=644),FALSE,"Abstention
(% registered)",644,-0.86231666761089,0.41959742587074134,-1.684727622317543,-0.039905712904236945,0.03989800449568723,TRUE,p < 0.05
[Cohorts] B 2014-2020 (n=644),FALSE,"Candidate turnover
(%)",628,0.6890628477846557,1.1187747543955757,-1.5037356708306726,2.881861366399984,0.5379741809041032,FALSE,p >= 0.05
[Cohorts] B 2014-2020 (n=644),FALSE,"Incumbent vote share
(% valid votes)",434,1.49303219761272,1.3364605783203505,-1.1264305358951667,4.112494931120607,0.2639966990808204,FALSE,p >= 0.05
[Cohorts] C 2020-2026 (n=356),FALSE,"Candidacy
(pp)",313,1.2137453894372643,3.716220626664127,-6.070047038824425,8.497537817698953,0.7439739169930849,FALSE,p >= 0.05
[Cohorts] C 2020-2026 (n=356),FALSE,"Reelection
(pp)",313,4.680639503250374,4.117229739572525,-3.3891307863117746,12.750409792812523,0.2556400255501259,FALSE,p >= 0.05
[Cohorts] C 2020-2026 (n=356),FALSE,"Winner vote share
(% valid votes)",353,0.11480429897790778,1.01576580886501,-1.8760966863975117,2.105705284353327,0.9100154882382598,FALSE,p >= 0.05
[Cohorts] C 2020-2026 (n=356),FALSE,"Abstention
(% registered)",356,0.020378284986980744,0.586888440803055,-1.129923058987007,1.1706796289609684,0.9723017617887818,FALSE,p >= 0.05
[Cohorts] C 2020-2026 (n=356),FALSE,"Candidate turnover
(%)",350,-0.33755239737666826,1.282637957968593,-2.8515227949951103,2.176418000241774,0.7924258929799148,FALSE,p >= 0.05
[Cohorts] C 2020-2026 (n=356),FALSE,"Incumbent vote share
(% valid votes)",166,-0.19620950198138729,1.8803157277886324,-3.8816283284471065,3.489209324484332,0.916900590157129,FALSE,p >= 0.05
[Installation power] Small < 7 MW (n=244),FALSE,"Candidacy
(pp)",222,0.06239366675954147,4.758781529257767,-9.264818130585683,9.389605464104767,0.9895393857177346,FALSE,p >= 0.05
[Installation power] Small < 7 MW (n=244),FALSE,"Reelection
(pp)",236,-1.9157225515712644,4.777847351914976,-11.280303361324616,7.448858258182089,0.6884615848662039,FALSE,p >= 0.05
[Installation power] Small < 7 MW (n=244),FALSE,"Winner vote share
(% valid votes)",244,0.017614941124398275,1.1025749507926401,-2.143431962429176,2.178661844677973,0.9872537801835354,FALSE,p >= 0.05
[Installation power] Small < 7 MW (n=244),FALSE,"Abstention
(% registered)",244,0.8866979678986155,0.4901365408404486,-0.07396965214866369,1.8473655879458948,0.07047464910099602,FALSE,p >= 0.05
[Installation power] Small < 7 MW (n=244),FALSE,"Candidate turnover
(%)",198,0,NA,NA,NA,NA,NA,NA
[Installation power] Small < 7 MW (n=244),FALSE,"Incumbent vote share
(% valid votes)",173,-0.3433968893623022,1.9459470452897514,-4.1574530981302145,3.4706593194056103,0.8599373077931247,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=245),FALSE,"Candidacy
(pp)",225,2.404392192121345,4.465704244202847,-6.348388126516235,11.157172510758926,0.5903088608025306,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=245),FALSE,"Reelection
(pp)",238,4.124121511253646,4.621400559197373,-4.933823584773204,13.182066607280497,0.37220936288034945,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=245),FALSE,"Winner vote share
(% valid votes)",245,-0.3393007879831341,0.9964072930805413,-2.292259082420995,1.613657506454727,0.7334705385132207,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=245),FALSE,"Abstention
(% registered)",245,0.6575507309494872,0.44198911854837825,-0.20874794140533415,1.5238494033043086,0.13686639250452926,FALSE,p >= 0.05
[Installation power] Large >= 7 MW (n=245),FALSE,"Incumbent vote share
(% valid votes)",178,0.5650051671531803,1.5883829168854062,-2.5482253499422156,3.6782356842485764,0.7220797453380345,FALSE,p >= 0.05
[Competitiveness] Competitive (n=218),FALSE,"Candidacy
(pp)",203,1.1721249626953403,4.384713106000983,-7.421912725066585,9.766162650457266,0.7892375335848876,FALSE,p >= 0.05
[Competitiveness] Competitive (n=218),FALSE,"Reelection
(pp)",215,-1.3106828505224,4.307355930606736,-9.753100474511601,7.131734773466802,0.7609243770150496,FALSE,p >= 0.05
[Competitiveness] Competitive (n=218),FALSE,"Winner vote share
(% valid votes)",218,0.09919105070434586,0.941817780111278,-1.746771798313759,1.9451538997224507,0.916128017258183,FALSE,p >= 0.05
[Competitiveness] Competitive (n=218),FALSE,"Abstention
(% registered)",218,1.5380216262841409,0.5271411726037115,0.5048249279808663,2.5712183245874156,0.0035456454231299396,TRUE,p < 0.05
[Competitiveness] Competitive (n=218),FALSE,"Incumbent vote share
(% valid votes)",163,0.014340154654060189,1.4707545459711722,-2.8683387554494373,2.8970190647575573,0.9922215789849047,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=271),FALSE,"Candidacy
(pp)",244,-0.359325810171574,4.803913160021521,-9.774995603813755,9.056343983470606,0.9403789395836109,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=271),FALSE,"Reelection
(pp)",259,2.0210743844384353,4.991701180981856,-7.762659930286002,11.804808699162873,0.6855826610151292,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=271),FALSE,"Winner vote share
(% valid votes)",271,-1.6389643203803663,1.0450860681343292,-3.6873330139236518,0.4094043731629191,0.1168944874106323,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=271),FALSE,"Abstention
(% registered)",271,-0.12134183815778248,0.4272954045966069,-0.958840831167132,0.7161571548515672,0.7764420645401382,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=271),FALSE,"Candidate turnover
(%)",212,0,NA,NA,NA,NA,NA,NA
[Competitiveness] Non-competitive (n=271),FALSE,"Incumbent vote share
(% valid votes)",188,-0.2869073393745297,2.054925813318711,-4.314561933479203,3.7407472547301435,0.8889800603589046,FALSE,p >= 0.05
