id_poste_livraison,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,x_poste_livraison,y_poste_livraison,epsg,etat_parc,statut_parc,date_maj
0005805360_PL1,0005805360,Ypreville-Biville,76710,TREMAUVILLE,76,28,521197,6.955417e+06,2154,En exploitation,Autorisé,2023-03-30 00:00:00
0003800194_PL1,0003800194,LE BOIS CROSSE,62247,COUPELLE VIEILLE,62,32,634121.3,7.0495735e+06,2154,En exploitation,Autorisé,2025-01-20 00:00:00
0003801758_PL1,0003801758,PARC EOLIEN DU BALINOT,60262,LE FRESTOY-VAUX,60,32,670675,6.945286e+06,2154,En attente de construction,Autorisé,2024-06-10 00:00:00
0100036351_PL2,0100036351,PARC EOLIEN DE LA CROIX BLANCHE,08381,ST GERMAINMONT,08,44,783601.75,6.938145e+06,2154,,En instruction,2024-02-15 00:00:00
0100037434_PL1,0100037434,Ferme eolienne Picasse,62673,QUEANT,62,32,698188,7.006917e+06,2154,,En instruction,2025-02-27 00:00:00
0007209856_PL1,0007209856,NEOEN,86080,CLOUE,86,75,482678,6.600062e+06,2154,,En instruction,2023-02-09 00:00:00
0007006530_PL1,0007006530,PROJET EOLIEN DE SILENE - SEPE SILENE (Intervent),62740,SAINS LES PERNES,62,32,652771,7.043511e+06,2154,En exploitation,Autorisé,2023-08-30 00:00:00
0010013534_PL3,0010013534,SAS PARC EOLIEN MOISSON DE BEAUCE I,28141,ERMENONVILLE-LA-GRANDE,28,24,579683.25,6.8033585e+06,2154,En exploitation,Autorisé,2022-11-29 00:00:00
0003800807_PL1,0003800807,AQUETTES,80019,ALLERY,80,32,618219,6.982739e+06,2154,,Autorisé,2023-10-16 00:00:00
0005704207_PL1,0005704207,Eolienne des Banlées,10269,NOZAY,10,44,775997.3,6.821926e+06,2154,En exploitation,Autorisé,2023-05-24 00:00:00
0100001198_PL2,0100001198,Ferme eolienne du Moulin Sacard,76638,SAINT-PIERRE-EN-VAL,76,28,587709,6.988939e+06,2154,En attente de construction,Autorisé,2023-04-12 00:00:00
0003800129_PL1,0003800129,ENERGIE DE L'OBI,02264,DIZY LE GROS,02,32,771916,6.949162e+06,2154,En exploitation,Autorisé,2024-05-16 00:00:00
0100299344_PL1,0100299344,FERME EOLIENNE DES CHAMPS DES ABATIES,16054,LE BOUCHAGE,16,75,498884,6.554048e+06,2154,,En instruction,2025-09-22 00:00:00
0100002766_PL3,0100002766,PARC EOLIEN DE LA VALLEE DE L'EAULNE,76724,VATIERVILLE,76,28,591983,6.968903e+06,2154,En attente de construction,Autorisé,2023-12-07 00:00:00
0007209309_PL1,0007209309,Ferme éolienne de Maisontiers-Tessonnière,79165,MAISONTIERS,79,75,453631.6,6.6382755e+06,2154,En exploitation,Autorisé,2022-10-04 00:00:00
0007005449_PL1,0007005449,SEPE LE FOND D'ETRE,62843,VERCHIN,62,32,640778.56,7.042771e+06,2154,,En instruction,2023-03-03 00:00:00
0006413165_PL1,0006413165,Provencialis,83006,ARTIGUES,83,93,927817,6.276938e+06,2154,En exploitation,Autorisé,2022-12-12 00:00:00
0006605521_PL1,0006605521,Parc éolien du Sambrès,11319,ROQUEFERE,11,76,649682.2,6.258183e+06,2154,En exploitation,Autorisé,2023-09-07 00:00:00
0005704331_PL5,0005704331,Parc éolien de Langres Sud,52446,SAINT-BROINGT-LES-FOSSES,52,44,868367,6.736838e+06,2154,En exploitation,Autorisé,2023-04-03 00:00:00
