code_insee,invest_sd
02387,13832746.15
02388,1987358.27
02389,3000766.4699999997
02390,1291010.76
02391,1680098.25
02392,1366189.51
02393,934333.75
02395,529388.59
02396,569157.45
02397,9544139.3
02398,1750847.79
02399,2601584.69
02400,1278484.01
02401,581546.5
02402,336803.94
02403,998570.1799999999
02404,762046.7899999999
02405,2799670.49
02406,620218.48
02407,807655.29
02408,196763222.94
02409,1143953.45
02410,1222749.89
02411,810387.37
02412,626658.3600000001
02413,1365478.15
02414,1115723.7
02415,354082.62
02416,1532097.3
02417,629046.15
02418,866222.71
02419,1775759.91
02420,3937540.4299999997
02421,1088245.52
02422,3653143.06
02423,1757436.91
02424,1075828.21
02425,1161923.0899999999
02426,2391776.2
02427,724096.31
02428,302655.34
02429,478252.69
02430,7618648.45
02431,1568267.57
02432,1141070.02
02433,1976745.21
02434,1490179.54
02435,649319.03
02438,1128770.48
02439,3135596.55
02440,432758.6
02441,1133362.42
02442,191648.99000000002
02443,912723.31
02444,507138.23
02445,2138166.49
02446,464678.30000000005
02447,635090.85
02448,881418.5299999999
02449,255679.7
02450,1288101.15
02451,558180.39
02452,1076678.11
02453,1612201.62
02454,1226519.3399999999
02455,652512.48
02456,1781853.73
02457,7741129.98
02458,1514844.14
02459,1517422.02
02460,1061695.54
02461,1893746.1500000001
02462,538456.24
02463,399772.86
02464,2393525.25
02465,2270992.92
02466,684979.56
02467,149021.62
02468,24094044.490000002
02469,2494048.0
02470,2913918.28
02471,606745.09
02472,2058665.47
02473,558266.93
02474,1719097.19
02475,1160229.93
02476,2428207.9
02477,7132649.0200000005
02478,2197770.73
02479,246062.36000000002
02480,1326116.72
02481,1293943.06
02482,272347.67
02483,1858954.38
02484,7194312.43
02485,550905.67
02486,385228.38
02487,3898439.96
02488,916387.28
02489,1495244.98
02490,1084150.3900000001
02491,1026981.65
02492,2289212.11
02493,1090734.49
02494,1246206.79
02495,4863034.0200000005
02496,558209.07
02497,7409964.83
02498,3042437.63
02499,314524.25
02500,3484206.41
02501,477595.21
02502,7763919.74
02503,3948041.3000000003
02504,9653527.94
02505,343077.58
02506,1778260.1600000001
02507,545562.47
02508,616387.82
02509,886607.7999999999
02510,852136.95
02511,1161597.65
02512,789386.39
02513,673552.7100000001
02514,5397424.85
02515,313636.22000000003
02516,440312.2
02517,2029569.99
02518,940047.45
02519,1164175.58
02520,2497665.5
02521,6953313.09
02522,443993.22000000003
02523,271583.03
02524,2543172.95
02525,8713221.68
02526,953086.7
02527,2109875.83
02528,831516.86
02529,820492.3400000001
02530,638992.6
02531,994413.02
02532,6096452.68
02533,668901.23
02534,386974.50999999995
02535,1006769.41
02536,794927.42
02537,664646.7899999999
02538,336621.57
02539,2435684.82
02540,4928765.0
02541,1521350.36
02542,482230.14
02543,16961396.8
02544,3828120.9699999997
02545,615256.92
02546,775914.33
02547,540105.76
02548,1917461.27
02549,3384831.2199999997
02550,2415452.23
02551,971551.36
02552,952042.65
02553,2316408.45
02554,3732413.88
02555,12413184.9
02556,597876.6799999999
02557,564102.93
02558,23926439.39
02559,2067801.0
02560,666999.2
02561,474717.16
02562,695266.78
02563,628042.25
02564,3425214.89
02565,697180.03
02566,3227528.4499999997
02567,1873742.6300000001
02568,903237.52
02569,3291905.68
02570,1019231.2
02571,3122472.55
02572,1371210.1199999999
02573,134978.72999999998
02574,9254862.09
02575,12373195.76
02576,826913.93
02577,293074.05
02578,532543.78
02579,654956.4400000001
02580,3565603.16
02581,1893900.43
02582,484676.53
02583,644836.57
02584,733742.22
02585,1081172.86
02586,1416308.6099999999
02587,1266780.07
02588,429779.22
02589,1451659.12
02590,904304.17
02591,351772.92
02592,1341949.63
02593,3611635.66
02594,501428.98
02595,2526359.17
02596,3458884.35
02597,319456.29
02598,2108838.65
02599,911921.0399999999
02600,1441450.1
02601,553190.78
02602,8678019.1
02604,606192.96
02605,498095.96
