code_insee,annee,type_scrutin,n_unites,mono_liste,closeness,method
51508,2020,individuel,10,1,,seat_cutoff_rne_real
51509,2008,individuel,1,1,,winner_share_proxy_2008
51509,2014,individuel,13,0,11.4458,seat_cutoff_model
51509,2020,individuel,12,0,3.8462,seat_cutoff_rne_real
51510,2008,individuel,9,0,13.3333,winner_share_proxy_2008
51510,2014,individuel,11,1,,seat_cutoff_model
51510,2020,individuel,20,0,0.0,seat_cutoff_rne_real
51511,2008,individuel,2,0,43.299,winner_share_proxy_2008
51511,2014,individuel,3,1,,seat_cutoff_model
51511,2020,individuel,11,1,,seat_cutoff_rne_real
51512,2008,individuel,9,0,4.0,winner_share_proxy_2008
51512,2014,individuel,7,1,,seat_cutoff_model
51512,2020,individuel,2,1,,seat_cutoff_rne_real
51513,2008,individuel,15,0,12.8931,winner_share_proxy_2008
51513,2014,individuel,16,0,29.6296,seat_cutoff_model
51513,2020,individuel,16,0,0.0,seat_cutoff_rne_real
51514,2008,individuel,1,1,,winner_share_proxy_2008
51514,2014,individuel,13,0,8.1081,seat_cutoff_model
51514,2020,individuel,11,1,,seat_cutoff_rne_real
51515,2008,individuel,3,0,36.0759,winner_share_proxy_2008
51515,2014,individuel,4,1,,seat_cutoff_model
51515,2020,individuel,12,0,3.5461,seat_cutoff_rne_real
51516,2008,individuel,9,0,13.1579,winner_share_proxy_2008
51516,2014,individuel,8,0,18.1818,seat_cutoff_model
51516,2020,individuel,7,1,,seat_cutoff_rne_real
51517,2008,individuel,1,1,,winner_share_proxy_2008
51517,2014,individuel,2,1,,seat_cutoff_model
51517,2020,individuel,6,1,,seat_cutoff_rne_real
51518,2008,individuel,15,0,2.5723,winner_share_proxy_2008
51518,2014,individuel,21,0,0.4405,seat_cutoff_model
51518,2020,individuel,26,0,51.5432,seat_cutoff_rne_real
51519,2008,individuel,9,0,16.6667,winner_share_proxy_2008
51519,2014,individuel,8,0,10.5263,seat_cutoff_model
51519,2020,individuel,2,1,,seat_cutoff_rne_real
51520,2008,individuel,2,0,37.6812,winner_share_proxy_2008
51520,2014,individuel,7,1,,seat_cutoff_model
51520,2020,individuel,7,1,,seat_cutoff_rne_real
51521,2008,individuel,11,0,10.0775,winner_share_proxy_2008
51521,2014,individuel,12,0,27.1318,seat_cutoff_model
51521,2020,individuel,13,0,5.2632,seat_cutoff_rne_real
51522,2008,individuel,11,0,8.5227,winner_share_proxy_2008
51522,2014,individuel,11,1,,seat_cutoff_model
51522,2020,individuel,11,1,,seat_cutoff_rne_real
51523,2008,individuel,11,0,6.015,winner_share_proxy_2008
51523,2014,individuel,15,0,3.6232,seat_cutoff_model
51523,2020,individuel,11,1,,seat_cutoff_rne_real
51524,2008,individuel,11,0,13.5593,winner_share_proxy_2008
51524,2014,individuel,11,1,,seat_cutoff_model
51524,2020,individuel,22,0,16.875,seat_cutoff_rne_real
51525,2008,individuel,19,0,2.8718,winner_share_proxy_2008
51526,2008,individuel,11,0,18.0556,winner_share_proxy_2008
51526,2014,individuel,13,0,6.6986,seat_cutoff_model
51526,2020,individuel,13,0,7.8534,seat_cutoff_rne_real
51527,2008,individuel,11,0,14.8649,winner_share_proxy_2008
51527,2014,individuel,4,1,,seat_cutoff_model
51527,2020,individuel,12,0,14.4068,seat_cutoff_rne_real
51528,2008,individuel,2,0,56.4103,winner_share_proxy_2008
51528,2014,individuel,11,1,,seat_cutoff_model
51528,2020,individuel,11,1,,seat_cutoff_rne_real
51529,2008,individuel,11,0,18.8235,winner_share_proxy_2008
51529,2014,individuel,13,0,7.8652,seat_cutoff_model
51529,2020,individuel,12,0,0.0,seat_cutoff_rne_real
51530,2008,individuel,5,0,43.3594,winner_share_proxy_2008
51530,2014,individuel,4,1,,seat_cutoff_model
51530,2020,individuel,18,0,1.3825,seat_cutoff_rne_real
51531,2008,individuel,8,0,42.2271,winner_share_proxy_2008
51532,2008,individuel,15,0,13.1805,winner_share_proxy_2008
51532,2014,individuel,4,1,,seat_cutoff_model
51532,2020,individuel,17,0,5.0388,seat_cutoff_rne_real
51533,2008,individuel,6,0,48.8372,winner_share_proxy_2008
51533,2014,individuel,3,1,,seat_cutoff_model
51533,2020,individuel,12,0,38.9831,seat_cutoff_rne_real
51534,2008,individuel,11,0,27.1028,winner_share_proxy_2008
51534,2014,individuel,18,0,0.9615,seat_cutoff_model
51534,2020,individuel,11,1,,seat_cutoff_rne_real
51536,2008,individuel,19,0,6.6667,winner_share_proxy_2008
51537,2014,individuel,11,1,,seat_cutoff_model
51537,2020,individuel,10,1,,seat_cutoff_rne_real
51538,2008,individuel,1,1,,winner_share_proxy_2008
51538,2014,individuel,7,1,,seat_cutoff_model
